customer_id,acquisition_date,acquisition_campaign_id,acquisition_channel,acquisition_platform,region,country,city,age_group,gender,customer_segment,primary_product_interest,first_purchase_date,last_purchase_date,customer_status,churn_date,marketing_consent,loyalty_member,source_system,source_file_name,batch_id,ingestion_timestamp
CUST0028702,2025-07-14,CMP0092,Instagram,Meta Ads Manager,Middle East and Africa,United Arab Emirates,Abu Dhabi,35-44,Female,High-Value Customer,iCloud+,2025-07-14,2026-06-24,Inactive,,True,True,CRM Export,crm_customers_202507.csv,BATCH-CRM-202507-01,2025-07-15 05:10:00
CUST0021868,2025-04-26,CMP0034,Affiliate Marketing,Affiliate Network,Middle East and Africa,Saudi Arabia,Riyadh,35-44,Female,New Customer,Apple Arcade,2025-04-26,2026-04-25,Active,,False,True,CRM Export,crm_customers_202504.csv,BATCH-CRM-202504-01,2025-04-27 04:40:00
CUST0025091,2025-02-21,CMP0042,X,Affiliate Network,Asia Pacific,Japan,Osaka,25-34,Male,High-Value Customer,Mac,2025-02-21,2025-12-25,Active,,True,False,CRM Export,crm_customers_202502.csv,BATCH-CRM-202502-02,2025-02-22 03:05:00
CUST0005104,2025-04-27,CMP0043,Retail Promotion,Retail Partner,Asia Pacific,South Korea,Seoul,45-54,Male,At-Risk Customer,Apple TV+,2025-04-27,2025-04-27,At Risk,,False,False,CRM Export,crm_customers_202504.csv,BATCH-CRM-202504-01,2025-04-28 05:18:00
CUST0023332,2025-03-05,CMP0088,LinkedIn,LinkedIn Campaign Manager,Latin America,Mexico,Mexico City,25-34,Female,Loyal Customer,AppleCare+,2025-03-05,2026-05-13,Active,,True,True,CRM Export,crm_customers_202503.csv,BATCH-CRM-202503-01,2025-03-06 01:23:00
CUST0007174,2025-11-15,CMP0099,X,Affiliate Network,Asia Pacific,Australia,Brisbane,35-44,Prefer not to say,Service Subscriber,Apple Music,2025-11-15,2026-05-27,Active,,False,False,CRM Export,crm_customers_202511.csv,BATCH-CRM-202511-01,2025-11-16 01:35:00
CUST0012894,2026-01-05,CMP0083,LinkedIn,LinkedIn Campaign Manager,North America,United States,Los Angeles,25-34,Female,Occasional Buyer,AirPods,2026-01-05,2026-05-29,Active,,True,True,CRM Export,crm_customers_202601.csv,BATCH-CRM-202601-03,2026-01-06 04:25:00
CUST0008729,2025-09-06,CMP0013,LinkedIn,LinkedIn Campaign Manager,North America,United States,New York,18-24,Female,Occasional Buyer,Apple Watch,2025-09-06,2025-09-06,Active,,True,False,CRM Export,crm_customers_202509.csv,BATCH-CRM-202509-02,2025-09-07 02:24:00
CUST0012629,2024-09-03,CMP0068,Instagram,Meta Ads Manager,Europe,Italy,Turin,18-24,Female,High-Value Customer,iPhone,2024-09-03,2025-12-10,Active,,True,True,CRM Export,crm_customers_202409.csv,BATCH-CRM-202409-02,2024-09-04 04:38:00
CUST0005664,2025-12-09,CMP0038,Organic Social,Internal Email Platform,Asia Pacific,Japan,Osaka,25-34,Female,Hardware Enthusiast,Apple Watch,2025-12-09,2025-12-09,Active,,True,False,CRM Export,crm_customers_202512.csv_retry,BATCH-CRM-202512-03,2025-12-10 03:27:00
CUST0012831,2024-12-24,CMP0093,Google Search,Google Ads,North America,United States,Austin,45-54,Male,At-Risk Customer,Accessories,2024-12-24,2024-12-24,At Risk,,True,False,CRM Export,crm_customers_202412.csv,BATCH-CRM-202412-03,2024-12-25 02:45:00
CUST0019080,2025-07-26,CMP0039,Affiliate Marketing,Affiliate Network,Europe,France,Marseille,25-34,Male,Service Subscriber,Apple TV+,2025-07-26,2026-01-25,Inactive,,False,True,CRM Export,crm_customers_202507.csv,BATCH-CRM-202507-03,2025-07-27 01:01:00
CUST0000476,2024-12-29,CMP0091,Facebook,Meta Ads Manager,Latin America,Brazil,Rio de Janeiro,45-54,Female,Occasional Buyer,Accessories,2024-12-29,2026-04-22,Active,,True,False,CRM Export,crm_customers_202412.csv,BATCH-CRM-202412-02,2024-12-30 02:27:00
CUST0009849,2025-05-19,CMP0040,TikTok,TikTok Ads,North America,Canada,Montreal,35-44,Female,Churned Customer,iCloud+,2025-05-19,2025-05-19,Churned,2025-06-27,True,False,CRM Export,crm_customers_202505.csv,BATCH-CRM-202505-03,2025-05-20 04:23:00
CUST0013761,2025-10-04,CMP0077,Facebook,Meta Ads Manager,Europe,United Kingdom,London,35-44,Male,At-Risk Customer,Accessories,2025-10-04,2025-10-04,At Risk,,False,False,CRM Export,crm_customers_202510.csv,BATCH-CRM-202510-03,2025-10-05 04:13:00
CUST0002765,2025-11-20,CMP0048,Google Search,Google Ads,Europe,Germany,Berlin,55-64,Male,High-Value Customer,iPad,2025-11-20,2026-06-13,Active,,True,True,CRM Export,crm_customers_202511.csv,BATCH-CRM-202511-02,2025-11-21 03:03:00
CUST0024564,2024-08-20,CMP0014,Facebook,Meta Ads Manager,Asia Pacific,India,Delhi,25-34,Male,Hardware Enthusiast,iPad,2024-08-20,2024-08-20,Active,,True,False,CRM Export,crm_customers_202408.csv,BATCH-CRM-202408-03,2024-08-21 01:04:00
CUST0011671,2024-12-25,CMP0043,Retail Promotion,Retail Partner,Asia Pacific,South Korea,Seoul,18-24,Female,New Customer,Apple TV+,2024-12-25,2025-11-08,Active,,True,False,CRM Export,crm_customers_202412.csv,BATCH-CRM-202412-01,2024-12-26 02:10:00
CUST0025102,2025-04-08,CMP0065,Organic Social,Internal Email Platform,Europe,France,Paris,65+,Male,Loyal Customer,Accessories,2025-04-08,2025-12-24,Active,,True,True,CRM Export,crm_customers_202504.csv,BATCH-CRM-202504-01,2025-04-09 03:03:00
CUST0009858,2025-07-20,CMP0056,Retail Promotion,Retail Partner,Asia Pacific,Japan,Osaka,45-54,Female,At-Risk Customer,Apple Fitness+,2025-07-20,2025-07-20,At Risk,,True,True,CRM Export,crm_customers_202507.csv,BATCH-CRM-202507-03,2025-07-21 04:43:00
CUST0016597,2026-03-20,CMP0021,Apple Search Ads,Apple Search Ads,North America,Canada,Vancouver,25-34,Male,At-Risk Customer,AirPods,2026-03-20,2026-03-20,At Risk,,True,True,CRM Export,crm_customers_202603.csv,BATCH-CRM-202603-01,2026-03-21 04:52:00
CUST0026332,2025-05-19,CMP0039,Affiliate Marketing,Affiliate Network,Europe,France,Marseille,25-34,Male,At-Risk Customer,Apple TV+,2025-05-19,2025-08-04,At Risk,,True,True,CRM Export,crm_customers_202505.csv,BATCH-CRM-202505-01,2025-05-20 04:30:00
CUST0008191,2025-06-03,CMP0089,Organic Social,Internal Email Platform,Asia Pacific,Singapore,Singapore,18-24,Male,Service Subscriber,iCloud+,2025-06-03,2026-03-23,Active,,True,True,CRM Export,crm_customers_202506.csv,BATCH-CRM-202506-01,2025-06-04 02:27:00
CUST0018976,2025-03-15,CMP0032,TikTok,TikTok Ads,Europe,Germany,Unknown,65+,Male,At-Risk Customer,AppleCare+,2025-03-15,2025-06-24,At Risk,,False,False,CRM Export,crm_customers_202503.csv,BATCH-CRM-202503-01,2025-03-16 02:25:00
CUST0020862,2025-07-08,CMP0042,X,Affiliate Network,Asia Pacific,Japan,Osaka,35-44,Female,Hardware Enthusiast,Mac,2025-07-08,2025-12-16,Active,,False,True,CRM Export,crm_customers_202507.csv,BATCH-CRM-202507-03,2025-07-09 03:50:00
CUST0009224,2025-03-05,CMP0011,Apple Search Ads,Apple Search Ads,North America,United States,Austin,25-34,Unknown,At-Risk Customer,Apple Arcade,2025-03-05,2025-10-24,At Risk,,True,False,CRM Export,crm_customers_202503.csv,BATCH-CRM-202503-02,2025-03-06 05:38:00
CUST0005832,2025-06-06,CMP0008,Organic Social,Internal Email Platform,North America,United States,Chicago,25-34,Female,Loyal Customer,Mac,2025-06-06,2025-12-27,Active,,True,True,CRM Export,crm_customers_202506.csv,BATCH-CRM-202506-03,2025-06-07 05:15:00
CUST0028464,2026-01-19,CMP0086,TikTok,TikTok Ads,Europe,Spain,Barcelona,25-34,Female,New Customer,iPhone,2026-01-19,2026-01-19,Active,,True,False,CRM Export,crm_customers_202601.csv,BATCH-CRM-202601-03,2026-01-20 05:55:00
CUST0011079,2025-10-06,CMP0084,Google Display,Google Ads,North America,United States,Chicago,25-34,Male,At-Risk Customer,iCloud+,2025-10-06,2025-10-06,At Risk,,True,False,CRM Export,crm_customers_202510.csv,BATCH-CRM-202510-03,2025-10-07 03:49:00
CUST0018150,2025-01-04,CMP0042,X,Affiliate Network,Asia Pacific,Japan,Osaka,35-44,Female,Hardware Enthusiast,Mac,2025-01-04,2026-03-25,Inactive,,False,False,CRM Export,crm_customers_202501.csv,BATCH-CRM-202501-03,2025-01-05 03:19:00
CUST0005220,2024-12-26,CMP0045,Google Search,Google Ads,Asia Pacific,Australia,Melbourne,35-44,Male,Service Subscriber,Apple Music,2024-12-26,2026-04-10,Active,,True,True,CRM Export,crm_customers_202412.csv,BATCH-CRM-202412-03,2024-12-27 04:20:00
CUST0000002,2025-07-09,CMP0057,YouTube,YouTube Ads,Asia Pacific,South Korea,Incheon,55-64,Female,Occasional Buyer,iPad,2025-07-09,2026-06-11,Active,,True,False,CRM Export,crm_customers_202507.csv,BATCH-CRM-202507-02,2025-07-10 02:53:00
CUST0000344,2025-05-31,CMP0073,X,Affiliate Network,Europe,United Kingdom,Manchester,25-34,Male,Hardware Enthusiast,iPhone,2025-05-31,2025-07-26,Active,,True,False,CRM Export,crm_customers_202505.csv,BATCH-CRM-202505-02,2025-06-01 03:49:00
CUST0012566,2024-10-25,CMP0008,Organic Social,Internal Email Platform,North America,United States,Chicago,18-24,Male,Churned Customer,Mac,2024-10-25,2024-10-25,Churned,2024-11-25,True,False,CRM Export,crm_customers_202410.csv,BATCH-CRM-202410-02,2024-10-26 03:32:00
CUST0001826,2025-12-12,CMP0084,Google Display,Google Ads,North America,United States,Chicago,65+,Female,Service Subscriber,iCloud+,2025-12-12,2026-06-20,Active,,True,False,CRM Export,crm_customers_202512.csv,BATCH-CRM-202512-02,2025-12-13 05:06:00
CUST0029436,2025-05-01,CMP0015,TikTok,TikTok Ads,Asia Pacific,India,Hyderabad,25-34,Female,Occasional Buyer,Apple Arcade,2025-05-01,2025-05-01,Active,,True,False,CRM Export,crm_customers_202505.csv,BATCH-CRM-202505-03,2025-05-02 02:13:00
CUST0005658,2025-07-28,CMP0083,LinkedIn,LinkedIn Campaign Manager,North America,United States,Los Angeles,35-44,Female,At-Risk Customer,AirPods,2025-07-28,2025-07-28,At Risk,,True,False,CRM Export,crm_customers_202507.csv,BATCH-CRM-202507-03,2025-07-29 04:41:00
CUST0011297,2025-09-26,CMP0091,Facebook,Meta Ads Manager,Latin America,Brazil,Rio de Janeiro,35-44,Male,At-Risk Customer,Accessories,2025-09-26,2025-09-26,At Risk,,True,False,CRM Export,crm_customers_202509.csv,BATCH-CRM-202509-02,2025-09-27 02:10:00
CUST0020537,2024-09-22,CMP0008,Organic Social,Internal Email Platform,North America,United States,Chicago,35-44,Male,Occasional Buyer,Mac,2024-09-22,2024-09-22,Active,,True,False,CRM Export,crm_customers_202409.csv,BATCH-CRM-202409-02,2024-09-23 02:25:00
CUST0017076,2025-08-31,CMP0079,Instagram,Meta Ads Manager,North America,United States,Seattle,35-44,Female,Loyal Customer,Unknown,2025-08-31,2026-05-08,Active,,False,True,CRM Export,crm_customers_202508.csv,BATCH-CRM-202508-03,2025-09-01 04:20:00
CUST0016900,2025-08-08,CMP0004,Organic Social,Internal Email Platform,North America,United States,Seattle,18-24,Male,Hardware Enthusiast,iPad,2025-08-08,2026-06-25,Active,,True,False,CRM Export,crm_customers_202508.csv,BATCH-CRM-202508-01,2025-08-09 04:34:00
CUST0027877,2024-12-31,CMP0068,Instagram,Meta Ads Manager,Europe,Italy,Turin,25-34,Female,Hardware Enthusiast,iPhone,2024-12-31,2026-06-18,Active,,False,True,CRM Export,crm_customers_202412.csv,BATCH-CRM-202412-01,2025-01-01 05:49:00
CUST0020706,2025-01-02,CMP0031,Influencer Marketing,Affiliate Network,Asia Pacific,India,Hyderabad,35-44,Female,New Customer,AirPods,2025-01-02,2025-11-13,Active,,False,False,CRM Export,crm_customers_202501.csv,BATCH-CRM-202501-03,2025-01-03 04:19:00
CUST0014625,2026-05-10,CMP0046,Apple Search Ads,Apple Search Ads,Europe,Germany,Berlin,65+,Male,Hardware Enthusiast,iPhone,2026-05-10,2026-06-20,Active,,False,False,CRM Export,crm_customers_202605.csv,BATCH-CRM-202605-03,2026-05-11 02:26:00
CUST0026717,2024-11-17,CMP0008,Organic Social,Internal Email Platform,North America,United States,Chicago,65+,Female,Occasional Buyer,Mac,2024-11-17,2025-10-15,Active,,True,True,CRM Export,crm_customers_202411.csv,BATCH-CRM-202411-02,2024-11-18 03:34:00
CUST0028199,2025-04-18,CMP0091,Facebook,Meta Ads Manager,Latin America,Brazil,Rio de Janeiro,45-54,Female,Occasional Buyer,Accessories,2025-04-18,2026-01-10,Active,,True,False,CRM Export,crm_customers_202504.csv,BATCH-CRM-202504-02,2025-04-19 04:33:00
CUST0014476,2025-10-17,CMP0091,Facebook,Meta Ads Manager,Latin America,Brazil,Rio de Janeiro,45-54,Female,Price-Sensitive Customer,Accessories,2025-10-17,2025-11-30,Active,,True,False,CRM Export,crm_customers_202510.csv,BATCH-CRM-202510-01,2025-10-18 01:03:00
CUST0016038,2026-03-31,CMP0016,Retail Promotion,Retail Partner,North America,United States,Los Angeles,65+,Male,Loyal Customer,Mac,2026-03-31,2026-05-30,Active,,True,True,CRM Export,crm_customers_202603.csv,BATCH-CRM-202603-03,2026-04-01 04:28:00
CUST0001170,2025-06-17,CMP0067,Retail Promotion,Retail Partner,North America,United States,Seattle,45-54,Female,Service Subscriber,iCloud+,2025-06-17,2025-09-21,Inactive,,True,False,CRM Export,crm_customers_202506.csv,BATCH-CRM-202506-03,2025-06-18 05:38:00
CUST0004424,2024-10-25,CMP0008,Organic Social,Internal Email Platform,North America,United States,Chicago,45-54,Male,New Customer,Mac,2024-10-25,2025-07-04,Active,,True,False,CRM Export,crm_customers_202410.csv,BATCH-CRM-202410-02,2024-10-26 04:23:00
CUST0029166,2025-10-10,CMP0037,Retail Promotion,Retail Partner,Europe,Germany,Berlin,35-44,Non-binary,Service Subscriber,iCloud+,2025-10-10,2026-03-17,Active,,False,True,CRM Export,crm_customers_202510.csv,BATCH-CRM-202510-03,2025-10-11 02:20:00
CUST0005320,2025-05-29,CMP0068,Instagram,Meta Ads Manager,Europe,Italy,Turin,25-34,Male,Hardware Enthusiast,iPhone,2025-05-29,2026-03-17,Active,,True,False,CRM Export,crm_customers_202505.csv,BATCH-CRM-202505-01,2025-05-30 01:26:00
CUST0010720,2025-04-22,CMP0003,Influencer Marketing,Affiliate Network,Europe,Spain,Valencia,55-64,Female,At-Risk Customer,iPad,2025-04-22,2025-07-30,At Risk,,True,False,CRM Export,crm_customers_202504.csv,BATCH-CRM-202504-01,2025-04-23 05:40:00
CUST0002474,2025-09-25,CMP0092,Instagram,Meta Ads Manager,Middle East and Africa,United Arab Emirates,Abu Dhabi,35-44,Female,Service Subscriber,iCloud+,2025-09-25,2026-05-06,Inactive,,False,False,CRM Export,crm_customers_202509.csv,BATCH-CRM-202509-02,2025-09-26 05:13:00
CUST0014324,2025-08-11,CMP0002,Influencer Marketing,Affiliate Network,Asia Pacific,Australia,Melbourne,35-44,Male,New Customer,iPad,2025-08-11,2025-08-11,Active,,False,False,CRM Export,crm_customers_202508.csv,BATCH-CRM-202508-02,2025-08-12 02:41:00
CUST0003012,2025-08-04,CMP0068,Instagram,Meta Ads Manager,Europe,Italy,Turin,18-24,Male,Occasional Buyer,iPhone,2025-08-04,2025-11-29,Active,,True,False,CRM Export,crm_customers_202508.csv,BATCH-CRM-202508-03,2025-08-05 04:03:00
CUST0019556,2025-08-16,CMP0042,X,Affiliate Network,Asia Pacific,Japan,Osaka,25-34,Male,Loyal Customer,Mac,2025-08-16,2025-08-16,Active,,True,False,CRM Export,crm_customers_202508.csv,BATCH-CRM-202508-02,2025-08-17 05:15:00
CUST0022862,2025-11-04,CMP0020,Google Display,Google Ads,Asia Pacific,India,Mumbai,18-24,Female,At-Risk Customer,AppleCare+,2025-11-04,2025-11-04,At Risk,,True,True,CRM Export,crm_customers_202511.csv,BATCH-CRM-202511-02,2025-11-05 03:22:00
CUST0025065,2025-08-25,CMP0029,Instagram,Meta Ads Manager,Europe,France,Lyon,45-54,Female,Occasional Buyer,AppleCare+,2025-08-25,2025-08-25,Active,,True,False,CRM Export,crm_customers_202508.csv,BATCH-CRM-202508-03,2025-08-26 05:18:00
CUST0005121,2025-04-24,CMP0038,Organic Social,Internal Email Platform,Asia Pacific,Japan,Osaka,25-34,Prefer not to say,At-Risk Customer,Apple Watch,2025-04-24,2025-04-24,At Risk,,True,True,CRM Export,crm_customers_202504.csv,BATCH-CRM-202504-03,2025-04-25 04:02:00
CUST0018465,2025-01-14,CMP0058,Google Search,Google Ads,North America,United States,Los Angeles,18-24,Female,Loyal Customer,AppleCare+,2025-01-14,2026-06-17,Active,,True,True,CRM Export,crm_customers_202501.csv,BATCH-CRM-202501-03,2025-01-15 01:38:00
CUST0013247,2025-05-17,CMP0058,Google Search,Google Ads,North America,United States,Unknown,45-54,Female,New Customer,AppleCare+,2025-05-17,2025-05-17,Active,,False,False,CRM Export,crm_customers_202505.csv,BATCH-CRM-202505-02,2025-05-18 02:05:00
CUST0014442,2025-12-06,CMP0004,Organic Social,Internal Email Platform,North America,United States,Seattle,25-34,Male,Hardware Enthusiast,iPad,2025-12-06,2026-06-22,Active,,True,True,CRM Export,crm_customers_202512.csv,BATCH-CRM-202512-03,2025-12-07 05:44:00
CUST0022205,2025-12-02,CMP0025,Google Search,Google Ads,Asia Pacific,South Korea,Seoul,45-54,Male,Occasional Buyer,iPhone,2025-12-02,2025-12-02,Inactive,,True,False,CRM Export,crm_customers_202512.csv,BATCH-CRM-202512-02,2025-12-03 05:33:00
CUST0028819,2025-09-06,CMP0027,Facebook,Meta Ads Manager,North America,United States,Austin,35-44,Male,Churned Customer,Apple Fitness+,2025-09-06,2025-12-18,Churned,2025-12-20,True,False,CRM Export,crm_customers_202509.csv,BATCH-CRM-202509-01,2025-09-07 02:44:00
CUST0014631,2025-10-24,CMP0018,Google Search,Google Ads,Latin America,Brazil,Sao Paulo,25-34,Female,Loyal Customer,AirPods,2025-10-24,2026-05-30,Active,,True,True,CRM Export,crm_customers_202510.csv,BATCH-CRM-202510-03,2025-10-25 02:03:00
CUST0006319,2026-03-07,CMP0047,Instagram,Meta Ads Manager,North America,United States,Chicago,65+,Male,Occasional Buyer,Apple Watch,2026-03-07,2026-03-28,Active,,False,False,CRM Export,crm_customers_202603.csv,BATCH-CRM-202603-01,2026-03-08 02:29:00
CUST0009751,2025-03-30,CMP0033,Google Search,Google Ads,Europe,United Kingdom,Manchester,45-54,Male,Service Subscriber,Apple Arcade,2025-03-30,2026-06-05,Active,,True,False,CRM Export,crm_customers_202503.csv,BATCH-CRM-202503-01,2025-03-31 02:28:00
CUST0019335,2025-11-28,CMP0091,Facebook,Meta Ads Manager,Latin America,Brazil,Rio de Janeiro,35-44,Unknown,New Customer,Accessories,2025-11-28,2025-12-09,Active,,True,True,CRM Export,crm_customers_202511.csv,BATCH-CRM-202511-03,2025-11-29 05:31:00
CUST0023823,2025-05-12,CMP0091,Facebook,Meta Ads Manager,Latin America,Brazil,Rio de Janeiro,25-34,Female,Price-Sensitive Customer,Accessories,2025-05-12,2025-05-12,Active,,True,False,CRM Export,crm_customers_202505.csv,BATCH-CRM-202505-03,2025-05-13 01:47:00
CUST0002650,2025-06-18,CMP0096,Instagram,Meta Ads Manager,Asia Pacific,Australia,Brisbane,18-24,Female,Occasional Buyer,Unknown,2025-06-18,2026-05-09,Active,,True,False,CRM Export,crm_customers_202506.csv,BATCH-CRM-202506-01,2025-06-19 01:14:00
CUST0000247,2024-11-04,CMP0040,TikTok,TikTok Ads,North America,Canada,Montreal,35-44,Female,Service Subscriber,iCloud+,2024-11-04,2026-04-09,Active,,False,False,CRM Export,crm_customers_202411.csv,BATCH-CRM-202411-01,2024-11-05 01:01:00
CUST0001164,2024-10-17,CMP0068,Instagram,Meta Ads Manager,Europe,Italy,Turin,35-44,Non-binary,At-Risk Customer,iPhone,2024-10-17,2024-10-17,At Risk,,True,False,CRM Export,crm_customers_202410.csv,BATCH-CRM-202410-03,2024-10-18 02:59:00
CUST0021296,2024-09-01,CMP0014,Facebook,Meta Ads Manager,Asia Pacific,India,Delhi,25-34,Female,Churned Customer,iPad,2024-09-01,2024-09-11,Churned,2024-10-11,True,False,CRM Export,crm_customers_202409.csv,BATCH-CRM-202409-02,2024-09-02 05:31:00
CUST0006904,2025-05-18,CMP0014,Facebook,Meta Ads Manager,Asia Pacific,India,Delhi,35-44,Male,Loyal Customer,iPad,2025-05-18,2026-05-10,Active,,True,True,CRM Export,crm_customers_202505.csv,BATCH-CRM-202505-01,2025-05-19 03:02:00
CUST0003720,2025-06-12,CMP0091,Facebook,Meta Ads Manager,Latin America,Brazil,Rio de Janeiro,25-34,Female,At-Risk Customer,Accessories,2025-06-12,2025-06-12,At Risk,,True,True,CRM Export,crm_customers_202506.csv,BATCH-CRM-202506-03,2025-06-13 01:23:00
CUST0006570,2024-11-16,CMP0008,Organic Social,Internal Email Platform,North America,United States,Chicago,18-24,Female,Loyal Customer,Mac,2024-11-16,2026-02-22,Inactive,,True,True,CRM Export,crm_customers_202411.csv,BATCH-CRM-202411-03,2024-11-17 01:48:00
CUST0023938,2025-04-27,CMP0039,Affiliate Marketing,Affiliate Network,Europe,France,Marseille,18-24,Male,Service Subscriber,Apple TV+,2025-04-27,2026-05-11,Active,,True,False,CRM Export,crm_customers_202504.csv,BATCH-CRM-202504-01,2025-04-28 02:11:00
CUST0002042,2025-05-23,CMP0093,Google Search,Google Ads,North America,United States,Austin,25-34,Male,New Customer,Accessories,2025-05-23,2025-05-23,Inactive,,True,False,CRM Export,crm_customers_202505.csv,BATCH-CRM-202505-02,2025-05-24 03:16:00
CUST0011041,2025-06-06,CMP0042,X,Affiliate Network,Asia Pacific,Japan,Osaka,45-54,Female,New Customer,Mac,2025-06-06,2026-01-13,Active,,False,True,CRM Export,crm_customers_202506.csv,BATCH-CRM-202506-01,2025-06-07 02:36:00
CUST0001543,2025-09-27,CMP0039,Affiliate Marketing,Affiliate Network,Europe,France,Marseille,55-64,Male,Churned Customer,Apple TV+,2025-09-27,2025-09-27,Churned,2025-11-03,True,True,CRM Export,crm_customers_202509.csv,BATCH-CRM-202509-01,2025-09-28 05:12:00
CUST0025902,2025-09-24,CMP0020,Google Display,Google Ads,Asia Pacific,India,Mumbai,55-64,Male,New Customer,AppleCare+,2025-09-24,2025-09-24,Active,,True,False,CRM Export,crm_customers_202509.csv,BATCH-CRM-202509-03,2025-09-25 02:06:00
CUST0022139,2025-08-07,CMP0008,Organic Social,Internal Email Platform,North America,United States,Unknown,25-34,Female,Occasional Buyer,Mac,2025-08-07,2026-01-25,Active,,True,False,CRM Export,crm_customers_202508.csv,BATCH-CRM-202508-02,2025-08-08 02:50:00
CUST0004136,2025-03-28,CMP0044,X,Affiliate Network,Europe,United Kingdom,Birmingham,25-34,Prefer not to say,Service Subscriber,Apple Fitness+,2025-03-28,2025-11-02,Active,,True,True,CRM Export,crm_customers_202503.csv,BATCH-CRM-202503-02,2025-03-29 05:22:00
CUST0029300,2025-07-10,CMP0093,Google Search,Google Ads,North America,United States,Austin,45-54,Female,At-Risk Customer,Accessories,2025-07-10,2025-07-10,At Risk,,True,True,CRM Export,crm_customers_202507.csv,BATCH-CRM-202507-02,2025-07-11 02:26:00
CUST0001727,2024-08-25,CMP0031,Influencer Marketing,Affiliate Network,Asia Pacific,India,Hyderabad,18-24,Non-binary,Loyal Customer,AirPods,2024-08-25,2026-06-21,Active,,True,True,CRM Export,crm_customers_202408.csv,BATCH-CRM-202408-02,2024-08-26 02:51:00
CUST0002812,2025-10-23,CMP0057,YouTube,YouTube Ads,Asia Pacific,South Korea,Incheon,35-44,Female,Loyal Customer,iPad,2025-10-23,2026-03-10,Active,,False,True,CRM Export,crm_customers_202510.csv,BATCH-CRM-202510-01,2025-10-24 05:13:00
CUST0015648,2024-11-27,CMP0042,X,Affiliate Network,Asia Pacific,Japan,Osaka,35-44,Male,High-Value Customer,Mac,2024-11-27,2026-04-25,Inactive,,True,False,CRM Export,crm_customers_202411.csv,BATCH-CRM-202411-03,2024-11-28 03:54:00
CUST0003710,2025-02-23,CMP0090,Influencer Marketing,Affiliate Network,Asia Pacific,India,Chennai,45-54,Prefer not to say,Service Subscriber,Apple Fitness+,2025-02-23,2026-02-14,Active,,True,False,CRM Export,crm_customers_202502.csv,BATCH-CRM-202502-02,2025-02-24 05:17:00
